mall_name,event_title,duration,detail_url,thumbnail_url,benefit_summary,target,detail_images
Platpharm,닥터 리쥬올 PDLLA 퍼밍크림 출시 기념 한정 이벤트,2026.04.27 ~ 2026.05.07,https://www.platpharm.co.kr/pharmacy/events?eventId=277,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604270116260007417.webp&w=750&q=85,,,D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\닥터 리쥬올 PDLLA 퍼밍크림 출시 기념 한정 이벤트_2026_1.webp|D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\닥터 리쥬올 PDLLA 퍼밍크림 출시 기념 한정 이벤트_2026_2.webp|D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\닥터 리쥬올 PDLLA 퍼밍크림 출시 기념 한정 이벤트_2026_3.webp|D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\닥터 리쥬올 PDLLA 퍼밍크림 출시 기념 한정 이벤트_2026_4.webp|D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\닥터 리쥬올 PDLLA 퍼밍크림 출시 기념 한정 이벤트_2026_5.webp
Platpharm,더이로운 AI 헬스체커 상담신청,2026.04.08 ~ 2027.06.01,https://www.platpharm.co.kr/pharmacy/events?eventId=275,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604090026290016856.webp&w=750&q=85,,,D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\더이로운 AI 헬스체커 상담신청_2026_1.webp|D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\더이로운 AI 헬스체커 상담신청_2026_2.webp|D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\더이로운 AI 헬스체커 상담신청_2026_3.webp
Platpharm,퀵 계좌이체 2% 할인,2026.04.01 ~ 2026.05.30,https://www.platpharm.co.kr/pharmacy/events?eventId=267,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604230623590006696.webp&w=750&q=85,,,D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\퀵 계좌이체 2% 할인_2026_1.webp
Platpharm,토스페이먼츠 최대 0.5% 즉시 카드할인,2025.12.03 ~ 2026.06.30,https://www.platpharm.co.kr/pharmacy/events?eventId=245,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2025%2F12%2F2512030458450002532.webp&w=750&q=85,,,D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\토스페이먼츠 최대 0.5% 즉시 카드할인_2026_1.webp
Platpharm,브레이닝 설문조사 이벤트,2026.04.27 ~ 2026.05.02,https://www.platpharm.co.kr/pharmacy/events?eventId=278,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604270133020007778.webp&w=750&q=85,,,D:\Users\Desktop\pico\quasi_drug\data\platpharm\events\브레이닝 설문조사 이벤트_2026_1.webp
Platpharm,보고신약 4월 단독 입점기념 프로모션,2026.04.13 ~ 2026.05.02,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604170555450004857.webp&w=750&q=85,,,
Platpharm,젠빅 리뉴얼 기념 퀴즈 이벤트,2026.04.08 ~ 2026.05.02,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604070857120009543.webp&w=750&q=85,,,
Platpharm,종근당 브레이닝캡슐 퀴즈 이벤트,2026.04.07 ~ 2026.05.01,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604070131490019792.webp&w=750&q=85,,,
Platpharm,토스페이 결제 혜택 프로모션 연장,2026.04.01 ~ 2026.05.01,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604010751290013602.webp&w=750&q=85,,,
Platpharm,29데이즈 입점 이벤트,2026.04.01 ~ 2026.05.02,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F04%2F2604010545000008663.webp&w=750&q=85,,,
Platpharm,이팜 4월 월간이벤트,2026.04.01 ~ 2026.05.01,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F03%2F2603270050280016093.webp&w=750&q=85,,,
Platpharm,위고비 심포지엄 신청,2026.03.23 ~ 2026.04.04,,https://www.platpharm.co.kr/_next/image?url=https%3A%2F%2Fcdn.platpharm.co.kr%2F2026%2F03%2F2603240339420002948.webp&w=750&q=85,,,
