카테고리,상품명,규격,가격,출처,상품코드
거즈/붕대/탈지면,성진탈지면(절단솜) 4cm*3cm,450g / 1EA,6850,platpharm,2411150613432118
거즈/붕대/탈지면,수성 가아제 3호,7.5cm*7.5cm*8겹 / 200매,5000,platpharm,2411150713272885
거즈/붕대/탈지면,수성 탈지면(절단솜/깍두기),450g/1EA,5400,platpharm,2409260125100361
거즈/붕대/탈지면,협성 접은거즈 3호,5*5*8p / 200매,2000,platpharm,2503120638083471
거즈/붕대/탈지면,3M 엘라스틱 테이프 위드라이너 2702,5cmX5m/1EA,6000,platpharm,2407110658550296
거즈/붕대/탈지면,대한 접은거즈(4인치*4인치*4겹),200매 / 1EA,5370,platpharm,2503270247210362
거즈/붕대/탈지면,대한 탈지면(절단솜),450g(4cm*4cm) / 1EA,5500,platpharm,2503270638495568
거즈/붕대/탈지면,밴드골드코바(자가점착붕대),3inch(7.5cm*4.5m)/1EA,1500,platpharm,2410230623280353
거즈/붕대/탈지면,상공 절단거즈 소,5cm*5cm*8겹/200매,4600,platpharm,2410250152450941
거즈/붕대/탈지면,수성 탈지면,10g / 20EA,6000,platpharm,2411150742413171
거즈/붕대/탈지면,신성 붕대A(3호),10cm*540cm / 12EA,3850,platpharm,2411180535401325
거즈/붕대/탈지면,신성 접은거즈,5cm*5cm*8겹 / 200매,2800,platpharm,2411180531261272
거즈/붕대/탈지면,이케어 탄력붕대(낱개),15cm*215cm / 1EA,190,platpharm,2504290547151494
거즈/붕대/탈지면,포비스 자가점착탄력밴드 2인치,5cm*4.5m/1EA,1259,platpharm,2409260113550326
거즈/붕대/탈지면,포비스 자가점착탄력밴드 3인치,7.5cm*4.5m/1EA,1940,platpharm,2409260114540329
거즈/붕대/탈지면,협성 접은거즈 3호,10*10*8p / 200매,6600,platpharm,2503120638523481
거즈/붕대/탈지면,3M 코반 1584(접착식 탄력붕대),10cm*4.5m/18EA,69900,platpharm,2407120705220257
거즈/붕대/탈지면,대한 멸균거즈(9.5cm*9.5cm),5매*20p / 1EA,8000,platpharm,2502040632332574
거즈/붕대/탈지면,대한 멸균거즈(Y),5㎝*5㎝*2매 / 30포,4300,platpharm,2411290434380396
거즈/붕대/탈지면,상공 접은거즈 중,7.5cm*7.5cm*8겹/50매,4500,platpharm,2410250155580945
거즈/붕대/탈지면,성진 탄력붕대(2인치/5cm*190cm),12롤 / 1EA,4800,platpharm,2411150556191954
거즈/붕대/탈지면,신성 붕대A(3호),5cm*540cm / 12EA,2300,platpharm,2502180704053118
거즈/붕대/탈지면,신성 절단거즈,20cm*20cm / 200매,3790,platpharm,2411180532121276
거즈/붕대/탈지면,3M 코반 1583(점착식 탄력붕대)(3inch),7.5cm*4.5m/24EA,71900,platpharm,2407120703590255
거즈/붕대/탈지면,가주 멸균거즈 10cm*10cm*8겹,5매*20포 / 1EA,5600,platpharm,2509180551082743
거즈/붕대/탈지면,가주 멸균거즈 5cm*5cm*8겹,5매*20포 / 1EA,2850,platpharm,2509180551362779
거즈/붕대/탈지면,가주 접은거즈 10cm*10cm*8겹,200매 / 1EA,6900,platpharm,2509180604402915
거즈/붕대/탈지면,대한 접은거즈(4인치*4인치*8겹),200매 / 1EA,7900,platpharm,2503310132428144
거즈/붕대/탈지면,대한 탄력붕대 6inch,12EA/1SET,9900,platpharm,2411190153355651
거즈/붕대/탈지면,대한 탈지면 코튼볼(필터형) 3호,450g/1EA,6200,platpharm,2411190154475664
거즈/붕대/탈지면,대한 탈지면(절단솜),450g(4cm*6cm) / 1EA,5500,platpharm,2503270638495568
거즈/붕대/탈지면,대한 탈지면(절단솜/4cm*30cm),450g / 1EA,5500,platpharm,2503280655056012
거즈/붕대/탈지면,상공 탈지면(롤),450g/1EA,8000,platpharm,2410250150390936
거즈/붕대/탈지면,수성 거즈-엔,10cm*10cm*8P/200pcs,8800,platpharm,2409260055080276
거즈/붕대/탈지면,수성 멸균탈지면봉,2EA*30p / 1EA,3580,platpharm,2512190025569889
거즈/붕대/탈지면,신성 접은거즈,10cm*10cm*8겹 / 200매,7860,platpharm,2411180530371258
거즈/붕대/탈지면,협성 접은거즈 3호,10*10*4p / 200매,4400,platpharm,2503120638303479
거즈/붕대/탈지면,NEW 수성멸균거즈-엔(가아제),5cm*5cm*8겹 5매*20포/1EA,3500,platpharm,2409260046230268
거즈/붕대/탈지면,NEW 수성멸균거즈-엔(가아제),7.5cm*7.5cm*8겹 5매*20포/1EA,4900,platpharm,2409260047230270
