분류,일반/특별,제휴사,프로모션명,시작일,종료일,내용,혜택,카테고리,Thumbnail,Detail,URL
제휴,일반,아신메디팜,월간이벤트 아신메디팜,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4859/4859_REAL_470.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 아신메디팜_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 아신메디팜_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 아신메디팜_76878_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76878
제휴,일반,피지엘,월간이벤트 피지엘,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4858/4858_REAL_623.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 피지엘_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 피지엘_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 피지엘_76851_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76851
제휴,일반,이너웍스,월간이벤트 이너웍스,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4857/4857_REAL_869.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 이너웍스_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 이너웍스_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 이너웍스_76875_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76875
제휴,일반,건강두배로,월간이벤트 건강두배로,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4856/4856_REAL_890.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 건강두배로_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 건강두배로_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 건강두배로_76876_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76876
제휴,일반,남동,월간이벤트 남동,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4855/4855_REAL_827.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 남동_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 남동_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 남동_76874_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76874
제휴,일반,소연,월간이벤트 소연,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4854/4854_REAL_633.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 소연_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 소연_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 소연_76873_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76873
제휴,일반,대성메디 단독3 코코메디,월간이벤트 대성메디 단독3 코코메디,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4853/4853_REAL_860.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 대성메디 단독3 코코메디_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 대성메디 단독3 코코메디_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 대성메디 단독3 코코메디_76847_3.png,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76847
제휴,일반,대성메디 단독2 글라이드,월간이벤트 대성메디 단독2 글라이드,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4852/4852_REAL_2.png,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 대성메디 단독2 글라이드_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 대성메디 단독2 글라이드_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 대성메디 단독2 글라이드_76868_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76868
제휴,일반,유케이인터팜,월간이벤트 유케이인터팜,2026-06-01,2026-06-30,,,의약외품,https://www.hmpmall.co.kr/upload/event/4851/4851_REAL_154.jpg,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 유케이인터팜_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 유케이인터팜_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[의약외품]26년 6월 월간이벤트 유케이인터팜_76846_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76846
,일반,,[플러스] 삼진어묵,2026-06-01,2026-06-30,,,,https://www.hmpmall.co.kr/upload/event/4850/4850_REAL_862.jpg,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 삼진어묵_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 삼진어묵_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 삼진어묵_76746_3.jpg,https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76746
,일반,,[플러스] 링크트레이드(유럽),2026-06-01,2026-06-30,,,,https://www.hmpmall.co.kr/upload/event/4848/4848_REAL_895.jpg,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 링크트레이드(유럽)_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 링크트레이드(유럽)_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 링크트레이드(유럽)_76810_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 링크트레이드(유럽)_76788_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 링크트레이드(유럽)_76787_5.jpg|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 링크트레이드(유럽)_76811_6.jpg,"https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76810,76788,76787,76811"
,일반,,[플러스] 원글로벌넷(한우),2026-06-01,2026-06-30,,,,https://www.hmpmall.co.kr/upload/event/4847/4847_REAL_447.jpg,D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 원글로벌넷(한우)_4180_1.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 원글로벌넷(한우)_4030_2.png|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 원글로벌넷(한우)_76806_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 원글로벌넷(한우)_76807_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\hmp\events\[플러스] 26년 6월 원글로벌넷(한우)_76808_5.jpg,"https://www.hmpmall.co.kr/promotion/promotionList.do?prmtId=76806,76807,76808"
