분류,일반/특별,제휴사,프로모션명,시작일,종료일,내용,혜택,카테고리,Thumbnail,Detail,URL
자체,일반,,2026년 새로팜 멤버십 개편🎉,2026.01.01,2026.12.31,,,,https://img.saeropharm.com/data/base/cate/wm_list_256.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\2026년 새로팜 멤버십 개편🎉_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\2026년 새로팜 멤버십 개편🎉_2.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\2026년 새로팜 멤버십 개편🎉_20260115_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\2026년 새로팜 멤버십 개편🎉_20260115_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\2026년 새로팜 멤버십 개편🎉_5.jpg,https://www.saeropharm.com/w/event/ingEventView.do?idx=339
,일반,,아주약품 신규 입점 이벤트,2026.06.01,2026.06.12,,,,https://img.saeropharm.com/data/base/cate/brand_events_378_256_5_0.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\아주약품 신규 입점 이벤트_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\아주약품 신규 입점 이벤트_2.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\아주약품 신규 입점 이벤트_20260601_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\아주약품 신규 입점 이벤트_4.jpg,https://www.saeropharm.com/w/event/ingEventView.do?idx=367
,일반,,SK메디칼 릴레이 스탬프 이벤트,2026.06.05,2026.06.30,,,,https://www.saeropharm.com/w/assets/images/temp/gallery_thumb.png,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\SK메디칼 릴레이 스탬프 이벤트_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\SK메디칼 릴레이 스탬프 이벤트_2.png,https://www.saeropharm.com/w/event/ingEventView.do?idx=63314
제휴,일반,,6월 외품 쿠폰 모음🎫,2026.06.01,2026.06.30,,,,https://img.saeropharm.com/data/base/cate/%EC%9D%B4%EB%B2%A4%ED%8A%B8%EB%AA%A9%EB%A1%9D%EB%B0%B0%EB%84%88_%EA%B3%B5%ED%86%B5_720_486_25.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_2.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_5.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_6.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_7.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_8.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_9.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 쿠폰 모음🎫_20260513_10.jpg,https://www.saeropharm.com/w/event/ingEventView.do?idx=363
제휴,일반,,6월 외품 이벤트 모음📌,2026.06.01,2026.06.30,,,,https://img.saeropharm.com/data/base/cate/%EC%9D%B4%EB%B2%A4%ED%8A%B8%EB%AA%A9%EB%A1%9D%EB%B0%B0%EB%84%88_%EA%B3%B5%ED%86%B5_720_486_27.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_2.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_5.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_6.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_7.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_8.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_9.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 외품 이벤트 모음📌_20260529_10.jpg,https://www.saeropharm.com/w/event/ingEventView.do?idx=366
,일반,,6월 쿠폰 더블 이벤트,2026.06.01,2026.06.30,,,,https://img.saeropharm.com/data/base/cate/coupon_list_63.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 쿠폰 더블 이벤트_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 쿠폰 더블 이벤트_2.png,https://www.saeropharm.com/w/event/ingEventView.do?idx=63355
제휴,일반,KB Pay,(종료) 6월 KB Pay 즉시할인 이벤트,2026.06.01,2026.06.30,,,,https://img.saeropharm.com/data/base/cate/wm_list_182_29.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\(종료) 6월 KB Pay 즉시할인 이벤트_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\(종료) 6월 KB Pay 즉시할인 이벤트_2.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\(종료) 6월 KB Pay 즉시할인 이벤트_20260527_3.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\(종료) 6월 KB Pay 즉시할인 이벤트_4.jpg,https://www.saeropharm.com/w/event/ingEventView.do?idx=364
제휴,일반,하나카드,6월 하나카드 즉시할인 이벤트,2026.06.01,2026.06.30,,,,https://img.saeropharm.com/data/base/cate/wm_list_268.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 하나카드 즉시할인 이벤트_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 하나카드 즉시할인 이벤트_2.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 하나카드 즉시할인 이벤트_20260527_3.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 하나카드 즉시할인 이벤트_20260427_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 하나카드 즉시할인 이벤트_20260427_5.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\6월 하나카드 즉시할인 이벤트_6.jpg,https://www.saeropharm.com/w/event/ingEventView.do?idx=365
제휴,일반,네이버페이,새로팜 X 네이버페이 프로모션,2024.10.28,2026.12.31,,,,https://img.saeropharm.com/data/base/cate/wm_list_148.jpg,D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\새로팜 X 네이버페이 프로모션_1.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\새로팜 X 네이버페이 프로모션_2.png|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\새로팜 X 네이버페이 프로모션_20241128_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\새로팜 X 네이버페이 프로모션_20241010_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\새로팜 X 네이버페이 프로모션_20241128_5.jpg|D:\Users\Desktop\pico\quasi_drug\data\saeropharm\events\새로팜 X 네이버페이 프로모션_6.jpg,https://www.saeropharm.com/w/event/ingEventView.do?idx=257
