mall_name,event_title,duration,benefit_summary,detail_url,thumbnail_url,target,detail_images
Baropharm,[가람약품] 4월 사은품 증정 이벤트🎁 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16110,https://i.baropharm.com/event/5604ebce-4696-4f61-b567-6e2ebe5de41e.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[가람약품] 4월 사은품 증정 이벤트🎁 이미지_202404_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[가람약품] 4월 사은품 증정 이벤트🎁 이미지_2.jpg
Baropharm,[아신메디팜] 4월 증정 이벤트! 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16109,https://i.baropharm.com/event/0f50414a-93c2-496b-a6a3-e79fa28a161d.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[아신메디팜] 4월 증정 이벤트! 이미지_202603_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[아신메디팜] 4월 증정 이벤트! 이미지_2.jpg
Baropharm,[유케이인터팜] 4월 봄맞이 따듯한 이벤트☀️ 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16108,https://i.baropharm.com/event/9ff6506a-064f-41a6-997e-0e3f21c641b9.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[유케이인터팜] 4월 봄맞이 따듯한 이벤트☀️ 이미지_202604_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[유케이인터팜] 4월 봄맞이 따듯한 이벤트☀️ 이미지_2.jpg
Baropharm,[건강두배로] 건강두배로와 함께라면 행복두배로 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16107,https://i.baropharm.com/event/1c0b0f9f-481a-4197-aabb-5f5c665570b8.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[건강두배로] 건강두배로와 함께라면 행복두배로 이미지_202410_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[건강두배로] 건강두배로와 함께라면 행복두배로 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[건강두배로] 건강두배로와 함께라면 행복두배로 이미지_3.jpg
Baropharm,[소연] 소연과 함께하는 4월 증정 이벤트💐 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16106,https://i.baropharm.com/event/d0be5e2c-cc32-4750-8497-cccde20bac52.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[소연] 소연과 함께하는 4월 증정 이벤트💐 이미지_202602_1.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[소연] 소연과 함께하는 4월 증정 이벤트💐 이미지_2.jpg
Baropharm,"[가온팜] 4월 봄맞이, 입점 업체 이벤트🌼 이미지","2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16105,https://i.baropharm.com/event/6b96345e-9826-4985-9988-03376e1e65bc.png?&w=752&q=95,,"C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[가온팜] 4월 봄맞이, 입점 업체 이벤트🌼 이미지_202603_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[가온팜] 4월 봄맞이, 입점 업체 이벤트🌼 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[가온팜] 4월 봄맞이, 입점 업체 이벤트🌼 이미지_3.jpg"
Baropharm,[월드비전팜] 4월 월간 이벤트 모음전🌼 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16104,https://i.baropharm.com/event/32df360a-7072-40b4-a386-f88f1a405b42.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[월드비전팜] 4월 월간 이벤트 모음전🌼 이미지_202604_1.gif|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[월드비전팜] 4월 월간 이벤트 모음전🌼 이미지_2.jpg
Baropharm,"[제이웰팜] 4월 이벤트, 사은품 추가 증정! 이미지","2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16103,https://i.baropharm.com/event/9b3eadd8-5775-424e-828a-01e73cb8f2cb.png?&w=752&q=95,,"C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[제이웰팜] 4월 이벤트, 사은품 추가 증정! 이미지_202604_1.gif|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[제이웰팜] 4월 이벤트, 사은품 추가 증정! 이미지_2.jpg"
Baropharm,[대성메디케어] 4월 바로팜 월간 이벤트☘️ 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16102,https://i.baropharm.com/event/d849d106-a102-4dca-813e-f94ec5ee28e0.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[대성메디케어] 4월 바로팜 월간 이벤트☘️ 이미지_202604_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[대성메디케어] 4월 바로팜 월간 이벤트☘️ 이미지_2.jpg
Baropharm,[이너웍스] 4월 따듯한 월간 이벤트☀️ 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16101,https://i.baropharm.com/event/aba6e599-e7c5-4a64-8e96-904b4cdbecbd.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[이너웍스] 4월 따듯한 월간 이벤트☀️ 이미지_202604_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[이너웍스] 4월 따듯한 월간 이벤트☀️ 이미지_2.jpg
